                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                0.33178,                0.21924,                 0.8227,                0.97874,                0.99003,                0.99017,                0.94734,                0.35654,                0.18523,                0.78587,               0.002278,               0.002278,               0.002278
                     80,                0.32895,                0.21588,                0.82388,                0.98035,                0.98752,                0.98864,                0.94476,                0.35645,                0.18781,                0.78689,               0.002179,               0.002179,               0.002179
                     81,                0.32794,                0.21372,                0.82331,                0.98199,                0.98623,                0.98991,                0.94881,                0.35024,                0.18532,                0.78911,                0.00208,                0.00208,                0.00208
                     82,                0.32765,                 0.2149,                0.82291,                0.98119,                0.99054,                0.99079,                0.95014,                0.35122,                0.18537,                0.78497,               0.001981,               0.001981,               0.001981
                     83,                0.32684,                 0.2085,                0.82133,                0.98173,                0.98843,                0.98835,                0.94632,                0.35687,                0.18633,                0.78758,               0.001882,               0.001882,               0.001882
                     84,                0.32285,                0.20824,                0.82029,                 0.9842,                0.99093,                0.98995,                0.94917,                0.34891,                0.18035,                0.78363,               0.001783,               0.001783,               0.001783
                     85,                0.32403,                0.20918,                0.82084,                 0.9802,                0.99335,                0.99094,                0.95085,                0.34753,                0.18068,                0.78199,               0.001684,               0.001684,               0.001684
                     86,                0.32658,                0.20858,                0.82062,                0.98299,                0.99162,                0.99014,                0.94856,                0.35017,                0.18101,                0.78582,               0.001585,               0.001585,               0.001585
                     87,                0.32173,                 0.2049,                0.82009,                0.98517,                0.98995,                0.99094,                0.95084,                0.35146,                0.18233,                0.78869,               0.001486,               0.001486,               0.001486
                     88,                0.32195,                0.20183,                0.82304,                0.98305,                0.99138,                0.99058,                0.95234,                0.34902,                0.18025,                0.78792,               0.001387,               0.001387,               0.001387
                     89,                0.31666,                 0.1994,                0.81982,                0.98416,                0.99098,                0.98871,                0.94955,                0.34753,                0.17917,                0.78751,               0.001288,               0.001288,               0.001288
                     90,                0.32579,                0.18343,                0.80147,                0.98266,                0.99234,                0.99009,                0.94702,                0.35021,                0.18805,                 0.7899,               0.001189,               0.001189,               0.001189
                     91,                 0.3267,                0.18218,                0.80761,                0.98586,                0.98943,                0.99207,                0.95125,                 0.3493,                0.18132,                0.78555,                0.00109,                0.00109,                0.00109
                     92,                0.32321,                0.18003,                0.80419,                0.98491,                0.98927,                0.99006,                0.94799,                0.34955,                0.18717,                0.78467,               0.000991,               0.000991,               0.000991
                     93,                0.32234,                0.17883,                0.80329,                0.98311,                 0.9898,                0.99119,                  0.951,                0.34738,                0.18152,                0.78366,               0.000892,               0.000892,               0.000892
                     94,                0.32099,                0.17701,                0.80299,                0.98153,                 0.9894,                0.99118,                0.95081,                0.34869,                0.18217,                0.78455,               0.000793,               0.000793,               0.000793
                     95,                0.31777,                0.17163,                  0.804,                0.98404,                0.98835,                0.99083,                0.95136,                0.34648,                0.17795,                0.78333,               0.000694,               0.000694,               0.000694
                     96,                0.31622,                0.17157,                0.80173,                0.98347,                0.99124,                0.99111,                 0.9527,                0.34579,                0.17552,                0.78295,               0.000595,               0.000595,               0.000595
                     97,                0.31613,                0.17028,                0.79927,                0.98359,                0.99011,                0.99077,                0.95215,                0.34644,                0.17672,                0.78382,               0.000496,               0.000496,               0.000496
                     98,                0.31296,                0.16718,                0.80195,                0.98332,                0.99252,                 0.9908,                0.95222,                0.34534,                0.17544,                0.78318,               0.000397,               0.000397,               0.000397
                     99,                0.31138,                0.16627,                0.80176,                0.98277,                0.99165,                0.99071,                0.95139,                0.34551,                0.17514,                0.78306,               0.000298,               0.000298,               0.000298
